"","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","maxIndex","minIndex","meanIndex","changeIndex","progrsIndex","catIndex"
"Cambodia",30.4,23.4,21,23,26.6,26.6,26.6,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,29,29,29,29,29.4,15.3,15.3,9.81,30.4,9.81,24.050625,20.59,6.349375,"Not Free"
"Cameroon",19.4,21.2,25.7,25.7,24.9,24.9,24.9,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,23.2,23.2,23.2,23.2,23.2,23.6,23.6,23.6,23.6,23.6,23.2,23.2,23.2,23.2,23.6,25.7,19.4,22.99375,6.3,-3.59375,"Not Free"
"Canada",76.1,73.1,73.4,74.8,74.8,77.1,77.1,76,76,76,79.8,80.4,78,78,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,73.1,78.453125,7.30000000000001,-2.35312500000001,"Free"
"Cape Verde",69.1,73,71.5,71.5,73.4,72,72,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,71.5,71.5,71.5,73.4,73.4,73.4,73.4,73.4,73.4,73.4,61.6,73.4,61.6,72.13125,11.8,-3.03125000000001,"Free"
"Central African Republic",40,39.9,37.7,35.6,35.6,35.6,33.7,34.6,34.6,35.1,34.6,34.6,34.6,34.6,34.6,36.4,36.4,37.4,37.4,37.4,37.4,37.4,37.4,37.4,37.4,37.4,35.8,31.3,33.3,33.3,40,31.3,35.93125,8.7,4.06875,"Not Free"
"Chad",27.2,27.2,27.6,24.7,24.7,25.7,25.7,28.9,28.9,28.9,28.9,28.9,29.6,27.1,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,33.2,29.7,33.2,24.7,28.725,8.5,-1.525,"Not Free"
"Chile",75.3,68.7,87.5,87.5,87.5,91.2,91.2,79.9,79.9,79.9,78.2,79,80.6,79,79,79,79,79,79,79,77.4,77.4,77.4,77.4,77.4,76.6,76.9,76.9,76.9,64.8,91.2,64.8,79.203125,26.4,-3.903125,"Free"
"China",21.8,21.8,23.1,22.5,22.5,23.1,23.1,24.3,24.3,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,23.3,23.3,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.3,23.1,24.4,24.5,21.8,23.578125,2.7,-1.778125,"Not Free"
"Colombia",64.5,64.5,65.8,66.7,65.7,64.4,64.4,65.9,64.5,62.4,62.4,62.2,62.2,62.2,63.1,60.8,60.8,60.8,60.8,60.8,60.9,60.9,60.9,60.9,60.9,60.8,60.8,60.7,61.7,50.9,66.7,50.9,61.934375,15.8,2.565625,"Partially Free"
"Congo, Dem. Rep.",31.6,33.8,31.6,32.3,32.3,32.3,32.3,33.9,33.9,33.9,33.9,33.9,33.9,34.3,36.9,35.3,34.9,34.5,34.5,35.3,28.9,28.9,20.1,25.7,25.7,25.7,25.4,25.4,24.5,24.8,36.9,20.1,30.85625,16.8,0.743750000000002,"Not Free"
"Congo, Rep.",28.4,31.2,28.5,28.2,29.5,29.5,29.5,25.5,25.5,24.2,24.2,25,25,25,26.3,26.3,26.3,26.3,26.3,26,26,24.7,25,44.8,44.8,44.5,44.5,45.5,44.3,32.3,45.5,24.2,30.7125,21.3,-2.3125,"Partially Free"
"Costa Rica",70.9,70.9,74,71.3,75.6,77.7,77.7,77.7,75,77.7,77.7,76.8,77.3,77.3,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2,75.3,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2,70.9,76.71875,7.3,-5.81874999999999,"Free"
"Cote d'Ivoire",45.2,47.2,41.7,41.9,41.9,41.9,41.9,49.5,49.5,48,48,49.5,49.5,49.5,49.5,51.1,51.1,51.1,49.1,49.5,52.3,50.3,49.5,49.5,46.7,48.1,48.1,48.8,48,47.7,52.3,41.7,47.8,10.6,-2.59999999999999,"Partially Free"
"Croatia",55.5,54.5,55.4,54.1,55.4,55.4,55.4,60.2,60.2,60.2,55.9,55.9,56.2,56.2,56.2,56.2,56.2,56.2,56.2,54.5,41,40.5,40.5,39.7,39.7,39.7,39.7,39.7,40.3,40.3,60.2,39.7,50.84375,20.5,4.65625,"Partially Free"
"Cuba",28.2,26.7,25.5,28.2,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,26.1,24,24,24,24,24,24,24,24,24.2,24.2,24.2,24.2,24.2,24.2,24.2,26.4,24.2,28.2,23.7,24.63125,4.5,3.56875,"Not Free"
"Cyprus",64.7,64.5,71.2,70.6,70.6,70.6,70.6,73.2,73.2,74.5,74.5,73.2,73.2,73.2,74.5,74.5,63,63,63,63,60.8,59.8,59.8,59.8,59.8,59.8,59.8,59.8,59.4,59.1,74.5,59.1,66.571875,15.4,-1.871875,"Free"
"Czech Republic",69.2,69.2,70.5,70.4,70.4,70.4,73,76,71.8,72.8,74.2,73.9,72.4,71.7,71.7,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.6,73.6,73.2,73.2,75.6,75.6,75.6,76,69.2,72.775,6.8,-3.575,"Free"
"Denmark",92.7,92.7,92.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92.7,99.0875,7.3,-6.3875,"Free"
"Dominican Republic",42.5,33.2,33.2,34,31.8,33.2,35.7,35.7,34,34,34.9,34.9,36.5,36.5,37.4,36.5,38.3,38.3,38.7,39,40,40,38.6,35.2,35.5,35.5,42.3,44.3,44.3,44.3,44.3,31.8,37.325,12.5,5.175,"Not Free"
"Ecuador",45.9,45.9,36.3,29.4,29.4,29.4,29.4,30.5,30.5,31.8,33,33.9,41.1,38.9,39.2,38.9,38.9,38.1,38.1,38.1,40.4,40.4,40.8,38.4,38.4,38.4,38.4,39.3,39.3,40.8,45.9,29.4,37.08125,16.5,8.81875,"Partially Free"
"Egypt",45.5,46.1,46.1,44.9,43.5,41.7,43.3,46.4,46.3,44.6,44.6,44.6,44.6,45.1,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,45.5,45,45,45.9,45.9,46.8,41.7,45.559375,5.09999999999999,-0.0593749999999957,"Partially Free"
"El Salvador",46.1,51.6,54.4,53.6,53.6,53.6,53.8,51.6,50.1,50.1,48.1,47.5,45.4,45.6,47.2,47.2,47.2,45.8,46.1,46.1,44.5,44.5,42.2,42.2,42.2,42.2,41,39.2,38.4,38,54.4,38,46.609375,16.4,-0.509374999999999,"Partially Free"
"Equatorial Guinea",10.6,1.52,8.13,8.13,8.13,14,14,14,14,14,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19.5,1.52,16.1728125,17.98,-5.5728125,"Not Free"
"Eritrea",8.25,1.52,10.6,1.52,11.9,11.9,11.9,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,5.65,5.65,5.65,13.4,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,1.52,9.213125,14.58,-0.963125,"Not Free"
"Estonia",74.4,74.4,74.4,74.4,74.4,74.4,74.4,77.7,77.7,77.7,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.4,76.6,76.6,76.6,78.3,78.3,78.3,77.8,75.4,75.4,78.3,74.4,76.259375,3.89999999999999,-1.859375,"Free"
"Eswatini",38.8,37.9,35.9,35.8,35.8,35.8,35.8,34.8,34.8,36.8,36.8,38.8,38.8,38.8,38.8,38.8,38.8,38.8,38.8,38.8,38.8,38.8,40.3,41.6,41.6,41.6,43.6,43.6,43.6,43.6,43.6,34.8,38.865625,8.8,-0.0656250000000043,"Not Free"
"Ethiopia",34.2,31.3,31.6,33.6,35.5,35.5,35.5,34.7,34.7,33.1,33.1,33.1,34.7,35,35,35,35,35,35,35,35,35,35,35,34.7,34.3,32.2,32.5,27.1,22.9,35.5,22.9,33.365625,12.6,0.834375000000001,"Not Free"
"Finland",78.5,78.5,79.5,81.6,81.6,80.4,80.4,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,81.6,77.9,79.146875,3.69999999999999,-0.646874999999994,"Free"
"France",68.9,68.9,68.9,67.5,68.9,68.9,68.9,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,72.3,71.8,71.8,72.3,72.3,72.3,72.3,72.3,72.3,72.8,72.8,69.5,74.4,73.8,73.8,74.4,67.5,71.5,6.90000000000001,-2.59999999999999,"Free"
"Gabon",33.9,34.5,37.4,37.3,37.3,37.3,38.7,38,39.6,38.2,39,39,39,39,40.4,40.4,40.4,40.4,40.4,40.4,41.6,41.6,41.6,41.6,41.6,42.8,43.3,42.8,42.4,42.2,43.3,33.9,39.665625,9.4,-5.765625,"Not Free"
"Gambia",82,81.3,79.3,32.4,32.4,32.4,32.4,35.1,35.1,35.1,35.1,35.1,36.6,36.6,36.6,36.6,37.4,37.9,38.9,38.9,38.9,38.9,38.9,38.9,37.5,43.1,60.1,59.7,59.7,59.7,82,32.4,44.90625,49.6,37.09375,"Free"
"Georgia",48.8,48.8,49.6,49.9,50.5,50.5,49,46.3,45.2,43.7,45.8,45.8,45.8,47.6,43.7,40.5,42.5,42.5,42.5,42.5,41.8,41.8,41.1,41.1,39.6,39.7,41.3,40.6,40.1,40.1,50.5,39.6,44.3375,10.9,4.4625,"Partially Free"
"Germany",69.6,68,68,76.7,76.7,76.7,76.7,79,79,79,79,79,79,79,79,79,79,79,79,79,79.5,79.5,79.5,79.5,79.5,79,79,79,79.5,79.5,79.5,68,77.5125,11.5,-7.91250000000001,"Free"
"Ghana",63.6,63.4,65.2,58.6,63.8,63.1,63.1,65.4,65.4,65.4,62.2,62.2,62.2,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.8,64.8,64.8,60.1,60.1,58.5,48.3,47.1,48.3,65.4,47.1,61.553125,18.3,2.046875,"Partially Free"
"Greece",68.5,70.1,63.6,66.5,66.5,69.7,66.4,63.3,65.8,65.8,67.1,67.1,67.1,67.1,67.1,68.3,68.3,68.3,68.3,68.3,68.3,68.7,69.1,69.4,69.4,69.1,69.1,68.7,68.7,68.3,70.1,63.3,67.66875,6.8,0.831249999999997,"Free"
"Guatemala",49.3,56.1,57,52.3,52.3,50.5,49.3,45.7,45.7,46.3,44.1,44.1,44.1,44.3,45.7,45.5,45.5,45.5,45.7,45.7,45.7,45.7,45.7,48.7,48.7,48.5,46.2,47.7,49.5,49.5,57,44.1,47.865625,12.9,1.434375,"Partially Free"
"Guinea",31.2,30.4,31.2,30.6,30.6,30.6,30.6,29.9,29.9,29.9,30.2,29.1,30.2,29.5,29.5,29.5,29.5,29.5,29.9,29.9,29.9,29.9,29.9,29.9,29.9,27.9,27.9,29.2,29.2,26.8,31.2,26.8,29.69375,4.4,1.50625,"Not Free"
"Guinea-Bissau",45.2,48.5,47,45.9,46.7,45.9,45.9,37.1,44.8,45.4,46.1,46.1,46.4,46.4,47.5,47.2,44.4,44.4,44.4,44.4,43.5,43.2,43.5,43.5,43.5,41.7,33.4,29,29,27.5,48.5,27.5,42.609375,21,2.590625,"Partially Free"
"Haiti",29.9,31.1,29.9,29.1,26.5,26.5,26.5,30.6,29.2,28.5,37.9,39,39,35.2,27.6,28.8,37.2,37.2,37.2,37.2,37.2,37.2,37.7,37.7,37.8,26.5,22.3,22.3,28,30.8,39,22.3,31.965625,16.7,-2.065625,"Not Free"
"Honduras",39.9,37.3,39.5,38.3,38.3,42.1,42.1,43.3,42.6,41.8,44,44.8,44.8,44.8,45.7,45.7,45.7,45.7,45.7,45.9,45.9,42.9,42.9,43.2,44.3,44.3,44.3,44.4,42.9,43.9,45.9,37.3,43.13125,8.6,-3.23125,"Partially Free"
"Hungary",57.1,57.1,57.7,58.7,58.7,58.7,58.7,58.8,63,63,68.3,69.3,69.3,69.3,66,69.4,69.4,69.4,69.4,69.4,70.4,70.4,70.4,70.4,69.9,69.9,69.9,69.9,69.9,68.8,70.4,57.1,65.878125,13.3,-8.778125,"Free"
"Iceland",79.5,79.5,81.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,81.8,79.5,80.740625,2.3,-1.24062499999999,"Free"
"India",52.5,55.9,55.9,56.5,56.5,58,58,58,58,58,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,60.1,60.1,60.1,60.1,60.1,59.5,56.4,56,56,55.6,55.6,60.1,52.5,57.8,7.6,-5.3,"Partially Free"
"Indonesia",55.6,57.8,58.4,58.4,58.4,54.5,54.5,58,58,61.5,57,57,57,57.9,57,56.7,56.7,56.3,56.3,56.3,52.9,9.65,10.8,10.8,10.8,10.8,10.8,10.4,9.65,9.65,61.5,9.65,42.521875,51.85,13.078125,"Partially Free"
"Iran",26.8,26.8,25.5,24.1,26.6,26.6,26.6,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,26,26,28.3,27.2,28.2,28.2,28.2,28,27.7,27.2,26.9,28.3,24.1,26.465625,4.2,0.334375000000001,"Not Free"
"Iraq",45.3,44.9,44.9,43.5,43.5,43.5,43.5,43.5,43.5,43.5,45,46,44.9,46.3,44.9,49.5,45.6,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,40.8,43,43,43,49.5,40.8,43.521875,8.7,1.778125,"Partially Free"
"Ireland",92.8,89.6,89.5,86.5,86.5,89.5,84.5,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.3,82.8,82.8,82.3,82.3,82.3,82.3,78.5,92.8,78.5,83.99375,14.3,8.80625000000001,"Free"
"Israel",62.4,62.4,60.9,62.4,64.9,63.7,63.7,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,62.1,62.1,62.1,62.1,63.6,63.6,63.6,63.6,63.6,62.6,62.5,64.9,60.9,63.153125,4.00000000000001,-0.753125000000004,"Partially Free"
"Italy",63.5,63.5,64,64,64,64,64,64.4,65.7,65.7,65.7,64.4,64.4,65.7,67,66.7,66.7,65.8,65.2,65.2,65.2,65.2,65.2,65.2,64.9,64.9,64.9,64.9,64.9,64.9,67,63.5,65.009375,3.5,-1.50937500000001,"Partially Free"
"Jamaica",69,70.1,73.7,66.6,66.6,66.6,66.6,68,68,68,68,69.5,69.5,68,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.7,69.7,69.7,69.7,69.7,69.7,69.5,69.5,69.5,73.7,66.6,69.115625,7.10000000000001,-0.115624999999994,"Free"
"Japan",60.6,61.3,61.8,62.6,62.6,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5,64.5,64.5,64.5,64.5,64.5,64.5,64.5,63.5,63.5,63.5,64.5,60.6,63.390625,3.9,-2.790625,"Partially Free"
"Jordan",50.3,52.3,52.1,52.8,42.6,42.6,42.6,42.6,41.9,39.8,39.5,42,42.5,42.5,42.5,41,41,41,41,41,41,41,41,43.3,43.9,41.6,41,41,39.5,39.5,52.8,39.5,43.084375,13.3,7.215625,"Partially Free"
"Kazakhstan",27.2,30.1,30.9,28.8,28.8,28.8,28.8,26.8,26.8,27.3,27.3,27.3,27.3,27.3,29.8,27.3,27.3,27.3,27.3,27.3,27.3,26.4,26.4,26.4,27.4,32.1,32.1,33.8,32,32,33.8,26.4,28.621875,7.4,-1.421875,"Not Free"
"Kenya",58.5,55.3,62,58,57.2,57.2,57.2,58.4,57,57,40.1,40.1,39.4,39.4,39.4,40.6,40.4,40.4,41.3,41.3,38.8,38.8,39.5,39.5,38.2,37.9,37.9,37.9,39.2,39.2,62,37.9,45.84375,24.1,12.65625,"Partially Free"
"Kuwait",56.8,58.5,56.8,56.8,55.3,55.3,55.7,55.7,55.7,55.7,55.7,55.7,55.7,55.7,57.2,55.7,55.7,55.7,55.7,55.7,55.7,55.7,55.7,56,55.7,55.3,55.3,55,55.9,54.9,58.5,54.9,55.91875,3.6,0.881249999999994,"Partially Free"
"Kyrgyz Republic",46.5,43,41.4,40.2,40.8,41.4,41.4,39.6,39.6,34.5,26.7,26.7,26.7,25.3,26.7,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,26.6,29,29.5,29.1,29.1,46.5,25.3,31.51875,21.2,14.98125,"Partially Free"
"Lao",52,52.2,54.8,42.8,54.8,54.3,54.3,55.4,55.4,55.4,55.4,55.4,55.4,45.6,55.4,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,55.4,55.4,46.6,55.4,42.8,50.04375,12.6,1.95625,"Partially Free"
"Latvia",80.9,82.8,76.9,79.9,78.4,78.4,78.4,74.3,74.3,75.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.9,71.4,71.6,71.6,71.6,62.6,62.6,62.6,64.1,63.4,63.4,82.8,62.6,72.171875,20.2,8.72812500000001,"Free"
"Lebanon",44.1,44.1,43,41.9,41.4,43.6,43.6,39.3,37.9,37.9,37.9,39.5,37.9,37.9,38,36.5,36.5,36.5,36.5,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.5,34.6,34.2,34.2,44.1,34.2,38.190625,9.9,5.909375,"Not Free"
"Lesotho",58.7,54.4,60,57.9,59.9,59.9,59.9,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,55.2,55.6,55.2,55.2,54.2,54.2,54.2,56,57.6,57.6,60,54.2,56.7,5.8,2,"Partially Free"
"Liberia",50.3,50.3,54.7,46.7,46.7,46.7,46.7,47.9,47.9,46.7,52.6,52.6,52.6,52.6,53.5,49.4,30.4,30.4,30.4,30.4,29.3,29.3,29,35.7,48.2,48.2,48.1,48.2,48.2,30.6,54.7,29,43.6875,25.7,6.6125,"Partially Free"
"Libya",37.8,39.1,41.1,41.3,42.7,47.2,45.8,38.5,35.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.6,30.6,30.6,28.4,28.4,47.2,24.2,31.996875,23,5.803125,"Partially Free"
"Lithuania",80.4,80.4,84,84,84,84,84,81.6,81.6,81.6,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,73.8,74,74,74,74,74,71.3,68.3,61.9,61.9,84,61.9,77.271875,22.1,3.12812500000001,"Free"
"Luxembourg",59,58.3,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,59,57.7,57.8,1.3,1.2,"Partially Free"
"Madagascar",38.2,37.9,34.9,36,36,36,35.6,29.8,29.8,29.8,29.8,32.8,32.8,32.8,32.8,35.4,35.4,43.3,42.9,42.9,42.9,42.9,44.2,46.8,46.8,47.8,47.4,48.2,37.3,38.2,48.2,29.8,38.29375,18.4,-0.09375,"Partially Free"
"Malawi",57.3,54.9,56.8,56.6,60.1,61,61,60.1,60.4,60.4,60.4,61.1,59.7,60.4,60.4,59,59,59,59,59.3,59.3,59.3,59.3,59.3,59,49.9,42,42,42,42.8,61.1,42,56.371875,19.1,0.928124999999994,"Partially Free"
"Malaysia",53.6,53.6,41,43.3,43.3,44.4,45.9,47.3,47.3,46.2,46.2,46.2,46.2,47.8,46.2,47.3,43.5,43.5,43.5,43.5,43.5,43.8,44.1,44.1,44.1,44.1,43.5,43.5,43.5,43.5,53.6,41,45.378125,12.6,8.221875,"Partially Free"
"Mali",45.2,41,42.5,43.8,42,42,42,52.5,52.5,52.5,52.5,52.5,53.5,52.5,52.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,53.5,54.5,52.7,46.1,54.5,41,50.321875,13.5,-5.121875,"Partially Free"
"Mauritania",33.7,35.8,29.2,32.9,32.9,32.9,32.9,32,32,32,32,32,35.3,32,27.3,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,35.8,27.3,30.90625,8.5,2.79375,"Not Free"
"Mauritius",59.9,60.9,64,56.5,56.5,54.4,58.9,62,62,62,61.8,61.8,61.8,61.8,61.8,63.4,63.4,63.4,63.4,63.4,62.3,62.3,62.3,60.3,60.3,60.3,60.3,62.3,62.3,62.3,64,54.4,61.140625,9.6,-1.240625,"Partially Free"
