"","maxIndexCL","minIndexCL","change","progrs","meanIndexCL","cat","maxIndexJL","minIndexJL","meanIndexJL","changeIndCL","progrsIndCL","catIndCL","meanFreedom","changeFreedom"
"Kuwait",48.5,33.1,15.4,2.79705882352941,43.3029411764706,"Partially Free",58.5,54.9,55.91875,3.6,0.881249999999994,"Partially Free",49.6108455882353,0.239154411764702
"Kyrgyz Republic",60,44,16,5.23823529411765,47.9617647058824,"Partially Free",46.5,25.3,31.51875,21.2,14.98125,"Partially Free",39.7402573529412,-6.0402573529412
"Lao",19.7,14.6,5.1,1.90882352941177,16.1911764705882,"Not Free",55.4,42.8,50.04375,12.6,1.95625,"Partially Free",33.1174632352941,41.6825367647059
"Latvia",84.6,72.6,12,8.21764705882353,74.7823529411765,"Free",82.8,62.6,72.171875,20.2,8.72812500000001,"Free",73.4771139705882,-22.0271139705882
"Lebanon",58.8,45.6,13.2,5.54411764705882,48.3558823529412,"Partially Free",44.1,34.2,38.190625,9.9,5.909375,"Not Free",43.2732536764706,-8.22325367647061
"Lesotho",66.2,46.4,19.8,2.93529411764706,58.6647058823529,"Partially Free",60,54.2,56.7,5.8,2,"Partially Free",57.6823529411764,-8.68235294117645
"Liberia",74.2,34.6,39.6,12.2176470588235,54.3823529411765,"Partially Free",54.7,29,43.6875,25.7,6.6125,"Partially Free",49.0349264705882,9.41507352941175
"Libya",49.2,15.5,33.7,12.0617647058824,23.6382352941176,"Partially Free",47.2,24.2,31.996875,23,5.803125,"Partially Free",27.8175551470588,8.9324448529412
"Lithuania",77.5,70.1,7.40000000000001,1.74117647058823,69.8588235294118,"Free",84,61.9,77.271875,22.1,3.12812500000001,"Free",73.5653492647059,-9.8653492647059
"Luxembourg",84.7,83,1.7,3.62941176470588,79.3705882352941,"Free",59,57.7,57.8,1.3,1.2,"Partially Free",68.585294117647,-8.43529411764703
"Madagascar",64.3,45.9,18.4,2.61470588235294,53.6852941176471,"Partially Free",48.2,29.8,38.29375,18.4,-0.09375,"Partially Free",45.9895220588236,30.0104779411764
"Malawi",67.3,10.1,57.2,10.8647058823529,51.2352941176471,"Partially Free",61.1,42,56.371875,19.1,0.928124999999994,"Partially Free",53.8035845588236,17.1964154411764
"Malaysia",52.8,38.9,13.9,10.9264705882353,41.8735294117647,"Partially Free",53.6,41,45.378125,12.6,8.221875,"Partially Free",43.6258272058823,38.3241727941177
"Mali",67.3,45,22.3,3.28235294117647,58.2176470588235,"Partially Free",54.5,41,50.321875,13.5,-5.121875,"Partially Free",54.2697610294118,-5.06976102941175
"Mauritania",65.4,30.5,34.9,4.67058823529412,48.9294117647059,"Partially Free",35.8,27.3,30.90625,8.5,2.79375,"Not Free",39.9178308823529,18.7821691176471
"Mauritius",74.6,67.4,7.19999999999999,4.33529411764705,67.7647058823529,"Partially Free",64,54.4,61.140625,9.6,-1.240625,"Partially Free",64.4526654411764,-17.2026654411764
"Mexico",66.6,53.1,13.5,6.06470588235294,57.2352941176471,"Partially Free",55.9,37.2,48.940625,18.7,6.959375,"Partially Free",53.0879595588235,6.51204044117645
"Moldova",63.3,50,13.3,9.05882352941176,54.2411764705882,"Partially Free",64.3,51.1,57.0875,13.2,-2.9875,"Partially Free",55.6643382352941,-2.31433823529409
"Mongolia",77.4,50.3,27.1,4.5,68.3,"Free",56.3,46.8,52.875,9.5,1.725,"Partially Free",60.5875,-7.2375
"Morocco",50.5,35.5,15,3.24705882352941,42.6529411764706,"Partially Free",56,46.3,49.071875,9.7,3.428125,"Partially Free",45.8624080882353,-0.562408088235301
"Mozambique",58.8,44,14.8,0.0323529411764696,52.4676470588235,"Partially Free",51.5,43,48.396875,8.5,-3.096875,"Partially Free",50.4322610294117,13.2677389705883
"Myanmar",45.6,18.8,26.8,19.5029411764706,26.0970588235294,"Partially Free",48,14.6,23.153125,33.4,21.846875,"Partially Free",24.6250919117647,24.2749080882353
"Namibia",75.1,65.9,9.19999999999999,1.71176470588236,68.4882352941176,"Free",72.9,56.5,68.25,16.4,-11.75,"Free",68.3691176470588,-24.7191176470588
"Nepal",67.3,45.9,21.4,1.20294117647059,55.4970588235294,"Partially Free",61.8,50.4,58.21875,11.4,-1.41875,"Partially Free",56.8579044117647,9.1420955882353
"Netherlands",84.4,79,5.40000000000001,1.53529411764706,77.4647058823529,"Free",86.6,79.5,80.61875,7.09999999999999,5.98124999999999,"Free",79.0417279411764,-19.3417279411764
"New Zealand",89.8,83.7,6.09999999999999,1.10882352941177,83.1911764705882,"Free",87.4,83.6,84.628125,3.80000000000001,1.27187500000001,"Free",83.9096507352941,-30.7096507352941
"Nicaragua",71.2,28.5,42.7,-26.4941176470588,54.9941176470588,"Partially Free",40.7,3.06,27.3209375,37.64,-24.2609375,"Not Free",41.1575275735294,22.1924724264706
"Niger",66.8,51.4,15.4,2.07058823529412,55.7294117647059,"Partially Free",59.4,41.8,49.4,17.6,-4.1,"Partially Free",52.564705882353,-1.01470588235296
"Nigeria",59.6,39.4,20.2,3.11764705882353,50.5823529411765,"Partially Free",50.5,36.6,43.025,13.9,3.275,"Partially Free",46.8036764705883,3.19632352941175
"North Korea",4.13,0.0114,4.1186,2.84247647058824,1.28752352941176,"Not Free",5.79,1.93,3.7578125,3.86,-0.2878125,"Not Free",2.52266801470588,13.2573319852941
"North Macedonia",67.5,51.6,15.9,7.78235294117647,55.8176470588235,"Partially Free",60.2,22.8,47.809375,37.4,-4.709375,"Partially Free",51.8135110294118,30.9864889705882
"Norway",95.1,83.8,11.3,-3.42941176470589,87.2294117647059,"Free",100,90.9,99.20625,9.09999999999999,-6.40625,"Free",93.217830882353,-4.91783088235296
"Oman",37.2,29.5,7.7,6.49117647058824,30.7088235294118,"Not Free",39.8,27.2,34.71875,12.6,0.381250000000001,"Not Free",32.7137867647059,24.0362132352941
"Pakistan",52.6,42,10.6,-4.35588235294118,46.6558823529412,"Partially Free",51,37.7,42.846875,13.3,-1.546875,"Partially Free",44.7513786764706,40.3486213235294
"Panama",75.4,67.2,8.2,2.23235294117647,68.1676470588235,"Free",51.3,42.3,46.546875,9,1.953125,"Partially Free",57.3572610294118,-21.2072610294117
"Papua New Guinea",67.3,62.5,4.8,6.34705882352941,60.9529411764706,"Partially Free",65.3,63.1,64.584375,2.2,-0.684374999999996,"Partially Free",62.7686580882353,-20.9686580882353
"Paraguay",71.4,58.8,12.6,4.79411764705883,61.4058823529412,"Partially Free",55.6,32,48.59375,23.6,-0.293750000000003,"Partially Free",54.9998161764706,4.4501838235294
"Peru",71.2,43.1,28.1,12.4558823529412,57.8441176470588,"Partially Free",62.9,17.5,46.2,45.4,15.3,"Partially Free",52.0220588235294,13.8779411764706
"Philippines",70.7,51.7,19,-9.53529411764706,61.2352941176471,"Partially Free",59,44.3,52.415625,14.7,-8.115625,"Partially Free",56.8254595588236,-8.82545955882355
"Poland",86.9,61.2,25.7,-14.3029411764706,75.5029411764706,"Free",86.3,50.8,80.290625,35.5,-29.490625,"Free",77.8967830882353,-12.2967830882353
"Portugal",92.8,84.8,8,-0.488235294117644,85.2882352941176,"Free",88.9,75.9,79.83125,13,9.06875000000001,"Free",82.5597426470588,-26.5597426470588
"Qatar",34.1,30,4.1,2.07058823529412,30.6294117647059,"Not Free",47.8,38.2,45.209375,9.59999999999999,-7.009375,"Partially Free",37.919393382353,-34.119393382353
"Romania",75.7,60.8,14.9,0.508823529411771,66.6911764705882,"Free",75,34.3,51.171875,40.7,-6.271875,"Free",58.9315257352941,27.9184742647059
"Russia",62.1,38.8,23.3,-7.49705882352941,46.2970588235294,"Partially Free",40.9,17.3,28.38125,23.6,-5.68125,"Not Free",37.3391544117647,19.9108455882353
"Rwanda",46.7,33.1,13.6,5.19411764705882,36.9058823529412,"Partially Free",56.8,33.1,38.978125,23.7,-5.878125,"Partially Free",37.9420036764706,-2.4920036764706
"Saudi Arabia",25.5,21.4,4.1,0.535294117647059,22.3647058823529,"Not Free",27.6,22.8,25.1875,4.8,2.4125,"Not Free",23.7761029411765,32.2738970588236
"Senegal",71.6,60.3,11.3,6.0735294117647,62.4264705882353,"Partially Free",52.7,46.6,48.6125,6.1,0.6875,"Partially Free",55.5194852941176,-24.7694852941176
"Serbia",71.9,40.3,31.6,2.30294117647058,54.4970588235294,"Partially Free",48.6,36.6,42.53125,12,-0.931249999999999,"Partially Free",48.5141544117647,-10.9141544117647
"Sierra Leone",68.8,41.2,27.6,7.92941176470588,56.0705882352941,"Partially Free",46.9,28.4,36.8625,18.5,1.0375,"Partially Free",46.466544117647,-21.216544117647
"Singapore",48.4,45.3,3.1,1.91176470588236,44.0882352941176,"Partially Free",50.3,43.8,46.815625,6.5,0.384375000000006,"Partially Free",45.4519301470588,-7.90193014705881
"Slovak Republic",81.3,65.9,15.4,3.91176470588236,70.2882352941176,"Free",65.6,55.6,62.221875,9.99999999999999,0.678124999999994,"Partially Free",66.2550551470588,-7.3550551470588
"Slovenia",82.7,72,10.7,0.514705882352942,73.7852941176471,"Free",75.6,65,71.04375,10.6,1.05624999999999,"Free",72.4145220588236,-25.8145220588235
