country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cameroon,15.2,15.2,15.2,15.2,15.2,17.4,19,19.4,19.4,18.8,19.4,19.4,19.4,19.4,19.7,23.6,23.2,23.2,23.2,23.2,23.6,23.6,23.6,23.6,23.6,23.2,23.2,23.2,23.2,23.2,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,24.9,24.9,24.9,25.7,25.7,21.2,19.4
"Congo, Dem. Rep.",16.1,16.1,16.1,16.1,16.1,16.1,15.8,17.8,17.8,15.1,17.1,17.1,15.1,15.1,17.1,24.8,24.5,25.4,25.4,25.7,25.7,25.7,20.1,28.9,28.9,35.3,34.5,34.5,34.9,35.3,36.9,34.3,33.9,33.9,33.9,33.9,33.9,33.9,32.3,32.3,32.3,32.3,31.6,33.8,31.6
"Congo, Rep.",19.7,19.7,19.7,19.7,19.7,19.7,20.9,20.9,20.9,19.4,20.7,20.7,19.3,20.7,19.3,32.3,44.3,45.5,44.5,44.5,44.8,44.8,25,24.7,26,26,26.3,26.3,26.3,26.3,26.3,25,25,25,24.2,24.2,25.5,25.5,29.5,29.5,29.5,28.2,28.5,31.2,28.4
Colombia,48.5,49.4,49.4,49.4,49.4,49.4,49.3,49.3,51.2,48.3,48.3,50.1,50.1,50.1,50.1,50.9,61.7,60.7,60.8,60.8,60.9,60.9,60.9,60.9,60.9,60.8,60.8,60.8,60.8,60.8,63.1,62.2,62.2,62.2,62.4,62.4,64.5,65.9,64.4,64.4,65.7,66.7,65.8,64.5,64.5
Cape Verde,51.2,60.5,60.5,60.5,60.5,60.5,59.7,59.7,59.7,59.7,59.7,59.7,59.7,59.7,61.6,61.6,73.4,73.4,73.4,73.4,73.4,73.4,73.4,71.5,71.5,71.5,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,72,72,73.4,71.5,71.5,73,69.1
Costa Rica,76.6,76.6,76.6,76.6,76.6,76.6,77,77.6,77.6,77.3,77.3,77.3,80.8,80.8,80.8,78.2,78.2,78.2,78.2,78.2,78.2,78.2,75.3,78.2,78.2,78.2,78.2,78.2,78.2,78.2,78.2,77.3,77.3,76.8,77.7,77.7,75,77.7,77.7,77.7,75.6,71.3,74,70.9,70.9
Cuba,23.9,23.9,23.9,23.9,23.9,23.9,23.3,23.3,23.3,23.3,24.2,24.2,24.2,24.2,26.4,24.2,26.4,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24,24,24,24,24,24,24,24,26.1,23.7,23.7,23.7,23.7,23.7,23.7,23.7,23.7,28.2,25.5,26.7,28.2
Cyprus,57.7,58.9,57.8,57.8,57.8,57.8,58.7,58.7,58.7,58.7,58.1,58.1,58.1,58.1,58.4,59.1,59.4,59.8,59.8,59.8,59.8,59.8,59.8,59.8,60.8,63,63,63,63,74.5,74.5,73.2,73.2,73.2,74.5,74.5,73.2,73.2,70.6,70.6,70.6,70.6,71.2,64.5,64.7
Czech Republic,22.6,22.6,22.6,22.6,22.6,22.6,22.3,22.3,22.3,22.9,22.9,22.9,22.9,22.9,22.9,75.6,75.6,75.6,73.2,73.2,73.6,73.6,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,71.7,71.7,72.4,73.9,74.2,72.8,71.8,76,73,70.4,70.4,70.4,70.5,69.2,69.2
Germany,78.6,78.6,78.6,78.6,78.6,78.6,78.9,78.9,78.9,79,79,79,79,79,79.5,79.5,79.5,79,79,79,79.5,79.5,79.5,79.5,79.5,79,79,79,79,79,79,79,79,79,79,79,79,79,76.7,76.7,76.7,76.7,68,68,69.6
